"","Date","Value","CountryCode","Country"
"288",1964-12-31,126716.4,"FRA","France"
"289",1963-12-31,119100.02,"FRA","France"
"290",1962-12-31,114758.9,"FRA","France"
"291",1961-12-31,111492.48,"FRA","France"
"292",1960-12-31,104320.29,"FRA","France"
"293",1959-12-31,95666.63,"FRA","France"
"294",1958-12-31,91023.06,"FRA","France"
"295",1957-12-31,95792.81,"FRA","France"
"296",1956-12-31,88668.64,"FRA","France"
"297",1955-12-31,83860.38,"FRA","France"
"298",1954-12-31,77087.33,"FRA","France"
"299",1953-12-31,71642.97,"FRA","France"
"300",1952-12-31,69767.48,"FRA","France"
"301",1951-12-31,65602.61,"FRA","France"
"302",1950-12-31,61159.11,"FRA","France"
"303",1949-12-31,58161.19,"FRA","France"
"304",1948-12-31,50617.98,"FRA","France"
"305",1947-12-31,50223.08,"FRA","France"
"306",1946-12-31,57230.35,"FRA","France"
"307",1945-12-31,45895.29,"FRA","France"
"308",1944-12-31,42061.48,"FRA","France"
"309",1943-12-31,50645.78,"FRA","France"
"310",1942-12-31,57577.66,"FRA","France"
"311",1941-12-31,57565.33,"FRA","France"
"312",1940-12-31,55237.21,"FRA","France"
"313",1939-12-31,72022.1,"FRA","France"
"314",1938-12-31,77383.23,"FRA","France"
"315",1937-12-31,80373.71,"FRA","France"
"316",1936-12-31,85801.87,"FRA","France"
"317",1935-12-31,85976.49,"FRA","France"
"318",1934-12-31,81661.36,"FRA","France"
"319",1933-12-31,82489.93,"FRA","France"
"320",1932-12-31,82560.14,"FRA","France"
"321",1931-12-31,82995.63,"FRA","France"
"322",1930-12-31,89824.14,"FRA","France"
"323",1929-12-31,92830.69,"FRA","France"
"324",1928-12-31,97575.07,"FRA","France"
"325",1927-12-31,92064.94,"FRA","France"
"326",1926-12-31,97735.36,"FRA","France"
"327",1925-12-31,110671.04,"FRA","France"
"328",1924-12-31,109248.76,"FRA","France"
"329",1923-12-31,114051.61,"FRA","France"
"330",1922-12-31,108353.27,"FRA","France"
"331",1921-12-31,98168.8,"FRA","France"
"332",1920-12-31,87516.55,"FRA","France"
"333",1919-12-31,96896.43,"FRA","France"
"334",1918-12-31,86603.17,"FRA","France"
"335",1917-12-31,101841.24,"FRA","France"
"336",1916-12-31,98058.55,"FRA","France"
"337",1915-12-31,87035.87,"FRA","France"
"338",1905-12-31,99885.95,"FRA","France"
"339",2008-12-31,414363.83,"DEU","Germany"
"340",2007-12-31,383259.18,"DEU","Germany"
"341",2006-12-31,363685.66,"DEU","Germany"
"342",2005-12-31,338249.57,"DEU","Germany"
"343",2004-12-31,316553.5,"DEU","Germany"
"344",2003-12-31,293566.94,"DEU","Germany"
"345",2002-12-31,301782.03,"DEU","Germany"
"346",2001-12-31,330823.81,"DEU","Germany"
"347",1998-12-31,327629.14,"DEU","Germany"
"348",1995-12-31,269599.6,"DEU","Germany"
"349",1992-12-31,321737.25,"DEU","Germany"
"350",1989-12-31,322673.53,"DEU","Germany"
"351",1986-12-31,276892.1,"DEU","Germany"
"352",1983-12-31,246993.57,"DEU","Germany"
"353",1980-12-31,306982.69,"DEU","Germany"
"354",1977-12-31,281406.67,"DEU","Germany"
"355",1974-12-31,268142.12,"DEU","Germany"
"356",1971-12-31,289409.01,"DEU","Germany"
